timestamp,task,status,execution_time
2025-06-08 13:31:07.191545,Extract,Success,7.582392454147339
2025-06-08 13:31:52.317125,Load,Failed,0.0
2025-06-08 13:31:07.191545,Extract,Success,7.582392454147339
2025-06-08 13:31:52.317125,Load,Failed,0.0
2025-06-08 13:33:41.939256,Transform,Failed,0.0
2025-06-08 13:36:29.204908,Extract,Success,7.020596504211426
2025-06-08 13:37:13.240176,Load,Failed,0.0
2025-06-08 13:36:29.204908,Extract,Success,7.020596504211426
2025-06-08 13:37:13.240176,Load,Failed,0.0
2025-06-08 13:39:03.792579,Transform,Failed,0.0
2025-06-08 13:40:08.118299,Extract,Success,6.340330600738525
2025-06-08 13:41:02.508914,Load,Success,49.02858781814575
2025-06-08 13:42:49.417336,Transform,Success,76.9305911064148
